,tbs
-10.0,20.0
-9.5,28.0
-9.0,34.0
-8.5,42.0
-8.0,50.0
-7.5,56.0
-7.0,64.0
-6.5,70.0
-6.0,78.0
-5.5,86.0
-5.0,92.0
-4.5,100.0
-4.0,110.0
-3.5,120.0
-3.0,130.0
-2.5,140.0
-2.0,150.0
-1.5,160.0
-1.0,170.0
-0.5,180.0
0.0,190.0
0.5,200.0
1.0,210.0
1.5,226.0
2.0,244.0
2.5,260.0
3.0,276.0
3.5,294.0
4.0,310.0
4.5,326.0
5.0,344.0
5.5,360.0
6.0,400.0
6.5,426.0
7.0,454.0
7.5,480.0
8.0,506.0
8.5,534.0
9.0,560.0
9.5,586.0
10.0,614.0
10.5,640.0
11.0,700.0
11.5,732.0
12.0,762.0
12.5,794.0
13.0,826.0
13.5,858.0
14.0,888.0
14.5,920.0
15.0,1000.0
15.5,1040.0
16.0,1080.0
16.5,1120.0
17.0,1160.0
17.5,1200.0
18.0,1240.0
18.5,1280.0
19.0,1360.0
19.5,1394.0
20.0,1428.0
20.5,1462.0
21.0,1498.0
21.5,1532.0
22.0,1566.0
22.5,1600.0
23.0,1700.0
23.5,1738.0
24.0,1774.0
24.5,1812.0
25.0,1848.0
25.5,1886.0
26.0,1922.0
26.5,1960.0
27.0,2050.0
27.5,2082.0
28.0,2116.0
28.5,2148.0
29.0,2182.0
29.5,2214.0
30.0,2248.0
30.5,2280.0
